,natural_flow_trend_index,pay_flow_trend_index,UV_VALUE,COMMENT_CNT,date_time,INCR_FANS_CNT,LEAVE_UCNT,FANS_CLUB_UCNT,PAY_ORDER_GMV,ONLINE_USER_CNT,WATCH_UCNT,PAY_CNT,PAY_UCNT
32,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 10, '搜索': 0, '个人主页&店铺&橱窗': 0, '其他': 1, '头条西瓜': 0, '活动页': 0, '全部自然流量': 16, '关注': 5}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,0,2019-12-02 08:44:00,0.0,8.0,0.0,0.0,37,9.0,0.0,0.0
33,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 4, '搜索': 2, '个人主页&店铺&橱窗': 0, '其他': 1, '头条西瓜': 0, '活动页': 0, '全部自然流量': 16, '关注': 9}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",314.0,1,2019-12-02 08:45:00,0.0,14.0,0.0,12900.0,41,19.0,1.0,1.0
34,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 11, '搜索': 1, '个人主页&店铺&橱窗': 0, '其他': 0, '头条西瓜': 0, '活动页': 0, '全部自然流量': 23, '关注': 11}","{'千川PC版': 1, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 1, '品牌广告': 0, '小店随心推': 0}",0.0,2,2019-12-02 08:46:00,0.0,20.0,0.0,0.0,46,26.0,0.0,0.0
35,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 8, '搜索': 0, '个人主页&店铺&橱窗': 0, '其他': 3, '头条西瓜': 0, '活动页': 0, '全部自然流量': 17, '关注': 6}","{'千川PC版': 1, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 1, '品牌广告': 0, '小店随心推': 0}",0.0,0,2019-12-02 08:47:00,0.0,14.0,1.0,0.0,49,20.0,0.0,0.0
36,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 10, '搜索': 1, '个人主页&店铺&橱窗': 1, '其他': 3, '头条西瓜': 0, '活动页': 0, '全部自然流量': 27, '关注': 12}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,0,2019-12-02 08:48:00,0.0,13.0,2.0,0.0,59,20.0,0.0,0.0
37,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 7, '搜索': 1, '个人主页&店铺&橱窗': 2, '其他': 0, '头条西瓜': 0, '活动页': 0, '全部自然流量': 19, '关注': 9}","{'千川PC版': 1, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 1, '品牌广告': 0, '小店随心推': 0}",0.0,0,2019-12-02 08:49:00,2.0,9.0,3.0,0.0,71,22.0,0.0,0.0
38,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 6, '搜索': 0, '个人主页&店铺&橱窗': 0, '其他': 0, '头条西瓜': 0, '活动页': 0, '全部自然流量': 19, '关注': 13}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,4,2019-12-02 08:50:00,0.0,46.0,0.0,0.0,71,13.0,0.0,0.0
39,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 9, '搜索': 0, '个人主页&店铺&橱窗': 0, '其他': 0, '头条西瓜': 0, '活动页': 0, '全部自然流量': 16, '关注': 7}","{'千川PC版': 0, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 0, '品牌广告': 0, '小店随心推': 0}",0.0,9,2019-12-02 08:51:00,0.0,22.0,1.0,0.0,40,24.0,0.0,0.0
40,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 5, '搜索': 1, '个人主页&店铺&橱窗': 0, '其他': 1, '头条西瓜': 0, '活动页': 0, '全部自然流量': 17, '关注': 10}","{'千川PC版': 2, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 2, '品牌广告': 0, '小店随心推': 0}",0.0,3,2019-12-02 08:52:00,0.0,16.0,0.0,0.0,40,19.0,0.0,0.0
41,"{'短视频引流': 0, '抖音商城推荐': 0, '直播推荐': 13, '搜索': 0, '个人主页&店铺&橱窗': 1, '其他': 2, '头条西瓜': 0, '活动页': 0, '全部自然流量': 22, '关注': 6}","{'千川PC版': 1, '其他广告': 0, '千川品牌广告': 0, '全部付费流量': 1, '品牌广告': 0, '小店随心推': 0}",0.0,3,2019-12-02 08:53:00,0.0,25.0,0.0,0.0,40,20.0,0.0,0.0
